OBJECTID,GDP/面积,路距,熵,湖距,label,,,
43,0.966522707,0.55839064,0.657462196,0.681516089,1,,,
44,0.953547253,0.723840003,0.657462196,0.652749696,1,,,
45,0.979245335,0.774041127,0.657462196,0.744593478,1,,,
46,0.973467769,0.50312036,0.657462196,0.840971448,1,,,
47,0.949920776,0.735522499,0.657462196,0.643884222,1,,,
48,0.974774146,0.633692087,0.657462196,0.781445416,1,,,
49,0.960853543,0.664430569,0.657462196,0.77592889,1,,,
50,0.86351946,0.687194288,0.657462196,0.709513177,1,,,
51,0.99105705,0.782345937,0.657462196,0.751007944,1,,,
52,0.793222217,0.419917223,0.657462196,0.86646395,1,,,
53,0.979892636,0.68293023,0.657462196,0.818583279,1,,,
54,0.978598727,0.66263584,0.657462196,0.809405382,1,,,
55,0.98267544,0.504303502,0.657462196,0.654635188,1,,,
56,0.988320897,0.876628648,0.657462196,0.761169398,1,,,
57,0.974961167,0.880264485,0.657462196,0.767721197,1,,,
58,0.952138188,0.88316036,0.657462196,0.838147438,1,,,
59,0.990663319,0.635287667,0.657462196,0.693865801,1,,,
60,0.982167367,0.684252756,0.657462196,0.868363245,1,,,
61,0.980704792,0.72892141,0.657462196,0.853924913,1,,,
62,0.982696013,0.647305898,0.657462196,0.849268109,1,,,
63,0.976442443,0.734235746,0.657462196,0.836733658,1,,,
64,0.986588424,0.687496785,0.657462196,0.879033477,1,,,
65,0.988124819,0.677957988,0.657462196,0.875899303,1,,,
66,0.954593186,0.262709826,0.657462196,0.84946542,1,,,
67,0.970605481,0.291214835,0.657462196,0.837769904,1,,,
68,0.996042443,0.697471006,0.657462196,0.876110954,1,,,
69,0.981872289,0.607072515,0.657462196,0.666836648,1,,,
70,0.958647041,0.6415188,0.657462196,0.666325358,1,,,
71,0.991662843,0.735391809,0.657462196,0.745044742,1,,,
72,0.978294818,0.786680454,0.657462196,0.771078771,1,,,
73,0.970719598,0.791699159,0.657462196,0.700127258,1,,,
74,0.891825966,0.759083674,0.657462196,0.744603934,1,,,
75,0.98723169,0.724767461,0.657462196,0.85080475,1,,,
76,0.993715607,0.816996787,0.657462196,0.721091205,1,,,
77,0.995154682,0.678564294,0.657462196,0.572468611,1,,,
78,0.990344205,0.691890508,0.657462196,0.838456763,1,,,
79,0.993985038,0.816773613,0.657462196,0.853395084,1,,,
80,0.993341305,0.577649155,0.657462196,0.833980173,1,,,
81,0.99089635,0.790890165,0.657462196,0.842526888,1,,,
82,0.993984657,0.580446018,0.657462196,0.792044422,1,,,
83,0.974902636,0.591290183,0.657462196,0.865990881,1,,,
84,0.982537945,0.681398441,0.657462196,0.835083278,1,,,
